,age,age_num,marital status,workinghours,workinghours_num,education,education_num,workclass,occupation,race,sex,income
5535,50-59,5,Married,20-39,2,"Started College, No Diploma",6,private,Sales,Black or African American alone,Female,low
12475,30-39,3,Married,40-49,3,Master or other Degree Beyond Bachelor,9,private,Education,White alone,Male,low
22259,25-29,2,Never married,40-49,3,Bachelor Degree,8,private,Healthcare/Medical Services,Black or African American alone,Female,high
10614,25-29,2,Married,40-49,3,"Started High School, No Diploma",4,private,Sales,White alone,Female,low
15616,40-49,4,Married,40-49,3,High School or GED Diploma,5,private,Service/Hospitality,Black or African American alone,Male,low
17619,40-49,4,Married,More than 50,4,High School or GED Diploma,5,private,Production/Assembly,White alone,Male,high
7161,40-49,4,Separated,More than 50,4,Associate Degree,7,governmental,Protective Services,White alone,Male,high
10071,30-39,3,Married,Less than 20,1,"Started College, No Diploma",6,private,Office/Administrative Support,White alone,Female,low
19678,Older than 70,7,Married,40-49,3,Master or other Degree Beyond Bachelor,9,private,Counseling/Mental Health Services,Black or African American alone,Female,high
6872,Younger than 25,1,Never married,Less than 20,1,"Started College, No Diploma",6,private,Sales,Other,Female,low
13738,50-59,5,Married,40-49,3,"Started College, No Diploma",6,private,Sales,White alone,Male,low
10504,50-59,5,Married,40-49,3,High School or GED Diploma,5,private,Office/Administrative Support,White alone,Female,low
3804,60-69,6,Married,40-49,3,High School or GED Diploma,5,self employed,Construction/Extraction,Other,Female,high
20507,30-39,3,Never married,40-49,3,"Started College, No Diploma",6,private,Healthcare/Medical Services,Black or African American alone,Male,low
13857,50-59,5,Married,More than 50,4,"Started College, No Diploma",6,private,Sales,White alone,Male,high
17383,50-59,5,Married,40-49,3,Bachelor Degree,8,private,Management/Business,White alone,Female,low
11327,50-59,5,Married,40-49,3,Bachelor Degree,8,private,Healthcare/Medical Services,White alone,Female,low
4117,25-29,2,Never married,20-39,2,High School or GED Diploma,5,private,Service/Hospitality,Black or African American alone,Female,low
9036,Older than 70,7,Married,40-49,3,Master or other Degree Beyond Bachelor,9,governmental,Education,White alone,Male,high
9157,30-39,3,Married,40-49,3,High School or GED Diploma,5,private,Service/Hospitality,White alone,Male,high
9628,60-69,6,Separated,40-49,3,Master or other Degree Beyond Bachelor,9,self employed,Finance/Accounting,White alone,Male,high
318,40-49,4,Never married,40-49,3,"Started College, No Diploma",6,private,Sales,Black or African American alone,Male,low
14258,50-59,5,Married,40-49,3,High School or GED Diploma,5,self employed,Construction/Extraction,White alone,Male,low
4381,40-49,4,Never married,More than 50,4,High School or GED Diploma,5,private,Transport,Black or African American alone,Male,high
10977,60-69,6,Married,20-39,2,High School or GED Diploma,5,governmental,Education,White alone,Female,low
14942,60-69,6,Married,40-49,3,"Started College, No Diploma",6,private,Management/Business,White alone,Female,high
17573,60-69,6,Separated,40-49,3,Bachelor Degree,8,private,Healthcare/Medical Services,Black or African American alone,Female,high
12904,40-49,4,Separated,40-49,3,Bachelor Degree,8,private,Office/Administrative Support,White alone,Female,high
10227,50-59,5,Widowed,More than 50,4,Master or other Degree Beyond Bachelor,9,self employed,Legal Services,White alone,Male,high
90,30-39,3,Never married,40-49,3,No Elementary School,1,private,Repair/Maintenance,White alone,Male,low
2820,Younger than 25,1,Never married,20-39,2,High School or GED Diploma,5,private,Sales,Black or African American alone,Female,low
16107,Younger than 25,1,Married,40-49,3,High School or GED Diploma,5,private,Repair/Maintenance,White alone,Male,low
7052,40-49,4,Separated,40-49,3,"Started College, No Diploma",6,private,Healthcare/Medical Services,Black or African American alone,Female,low
10550,50-59,5,Separated,40-49,3,High School or GED Diploma,5,private,Production/Assembly,White alone,Female,low
1945,50-59,5,Married,40-49,3,"Started High School, No Diploma",4,self employed,Repair/Maintenance,White alone,Female,low
13869,Younger than 25,1,Never married,20-39,2,"Started College, No Diploma",6,private,Service/Hospitality,Black or African American alone,Female,low
21359,Older than 70,7,Married,20-39,2,Bachelor Degree,8,self employed,Entertainment,White alone,Male,high
3634,40-49,4,Married,More than 50,4,Master or other Degree Beyond Bachelor,9,private,Management/Business,White alone,Male,high
3651,30-39,3,Never married,20-39,2,"Started College, No Diploma",6,self employed,Service/Hospitality,White alone,Male,low
17037,30-39,3,Married,More than 50,4,Master or other Degree Beyond Bachelor,9,private,Healthcare/Medical Services,White alone,Male,high
7307,40-49,4,Separated,40-49,3,Bachelor Degree,8,private,"Science, Engineering, Technology",White alone,Male,low
15978,50-59,5,Separated,More than 50,4,Master or other Degree Beyond Bachelor,9,private,Management/Business,White alone,Male,high
9661,25-29,2,Married,More than 50,4,"Started College, No Diploma",6,private,Production/Assembly,White alone,Male,high
15726,25-29,2,Married,20-39,2,Bachelor Degree,8,private,Sales,White alone,Female,low
20949,Younger than 25,1,Never married,40-49,3,Associate Degree,7,private,Service/Hospitality,White alone,Male,low
10440,50-59,5,Married,40-49,3,"Started College, No Diploma",6,private,Office/Administrative Support,White alone,Female,high
6853,40-49,4,Separated,40-49,3,"Started College, No Diploma",6,private,Production/Assembly,White alone,Female,low
15054,Younger than 25,1,Never married,20-39,2,"Started College, No Diploma",6,private,Sales,White alone,Male,low
18690,40-49,4,Married,40-49,3,"Started College, No Diploma",6,governmental,Repair/Maintenance,White alone,Male,high
9546,50-59,5,Separated,20-39,2,High School or GED Diploma,5,private,Service/Hospitality,Black or African American alone,Female,low
7578,50-59,5,Married,40-49,3,Associate Degree,7,private,Management/Business,White alone,Female,high
12079,Younger than 25,1,Never married,Less than 20,1,"Started College, No Diploma",6,private,Transport,Black or African American alone,Female,low
22032,50-59,5,Married,40-49,3,"Started College, No Diploma",6,private,Management/Business,Black or African American alone,Female,low
10324,60-69,6,Married,20-39,2,"Started College, No Diploma",6,private,Healthcare/Medical Services,White alone,Female,high
2941,Younger than 25,1,Never married,40-49,3,High School or GED Diploma,5,private,Production/Assembly,Black or African American alone,Male,low
10887,60-69,6,Separated,40-49,3,Associate Degree,7,private,"Science, Engineering, Technology",White alone,Male,high
7208,50-59,5,Married,More than 50,4,Bachelor Degree,8,governmental,Education,White alone,Female,low
16466,25-29,2,Married,40-49,3,Bachelor Degree,8,private,Office/Administrative Support,White alone,Female,low
8905,60-69,6,Married,20-39,2,"Started College, No Diploma",6,private,Transport,White alone,Male,low
5448,50-59,5,Married,40-49,3,"Started College, No Diploma",6,private,Production/Assembly,White alone,Female,low
11867,Younger than 25,1,Never married,40-49,3,High School or GED Diploma,5,private,Production/Assembly,Black or African American alone,Female,low
991,60-69,6,Married,40-49,3,High School or GED Diploma,5,private,Transport,Black or African American alone,Male,high
14213,50-59,5,Married,40-49,3,High School or GED Diploma,5,private,Sales,White alone,Male,low
21548,60-69,6,Separated,40-49,3,Bachelor Degree,8,private,Management/Business,White alone,Male,high
14120,50-59,5,Married,40-49,3,High School or GED Diploma,5,governmental,Repair/Maintenance,White alone,Male,low
15559,30-39,3,Never married,40-49,3,"Started College, No Diploma",6,private,Sales,White alone,Male,low
10206,25-29,2,Married,40-49,3,Associate Degree,7,private,"Science, Engineering, Technology",White alone,Male,high
3029,40-49,4,Married,Less than 20,1,Associate Degree,7,private,Sales,White alone,Female,low
11097,30-39,3,Married,40-49,3,High School or GED Diploma,5,governmental,Sales,White alone,Male,high
5201,30-39,3,Never married,20-39,2,High School or GED Diploma,5,private,Healthcare/Medical Services,Black or African American alone,Female,low
21997,50-59,5,Married,20-39,2,"Started College, No Diploma",6,private,Sales,White alone,Female,low
16339,30-39,3,Married,More than 50,4,High School or GED Diploma,5,self employed,Management/Business,White alone,Male,high
18138,Younger than 25,1,Never married,More than 50,4,"Started College, No Diploma",6,private,Office/Administrative Support,White alone,Female,low
1165,60-69,6,Married,40-49,3,Doctorate Degree,10,self employed,Management/Business,White alone,Male,high
10683,30-39,3,Married,20-39,2,Bachelor Degree,8,self employed,Sales,Black or African American alone,Male,low
12238,Older than 70,7,Never married,Less than 20,1,"Started High School, No Diploma",4,private,Protective Services,Black or African American alone,Male,low
21607,60-69,6,Never married,20-39,2,High School or GED Diploma,5,private,Transport,White alone,Female,high
14951,60-69,6,Married,40-49,3,Bachelor Degree,8,private,Management/Business,White alone,Male,high
8783,50-59,5,Married,20-39,2,"Started College, No Diploma",6,private,Sales,White alone,Female,low
11001,60-69,6,Married,Less than 20,1,"Started College, No Diploma",6,private,Production/Assembly,White alone,Male,low
3496,30-39,3,Separated,20-39,2,High School or GED Diploma,5,self employed,Service/Hospitality,White alone,Female,low
14921,25-29,2,Married,20-39,2,"Started College, No Diploma",6,self employed,Sales,White alone,Female,low
19963,Older than 70,7,Married,20-39,2,High School or GED Diploma,5,self employed,Office/Administrative Support,White alone,Female,high
5919,40-49,4,Never married,40-49,3,"Started College, No Diploma",6,private,Service/Hospitality,Black or African American alone,Male,low
4055,Older than 70,7,Widowed,20-39,2,"Started College, No Diploma",6,private,Sales,White alone,Female,high
2822,60-69,6,Separated,20-39,2,"Started College, No Diploma",6,private,Office/Administrative Support,White alone,Female,high
1231,30-39,3,Married,40-49,3,Doctorate Degree,10,private,Sales,White alone,Male,high
7845,Younger than 25,1,Never married,20-39,2,"Started College, No Diploma",6,private,Sales,White alone,Female,low
2023,40-49,4,Married,40-49,3,Bachelor Degree,8,private,Management/Business,White alone,Male,high
2358,40-49,4,Married,20-39,2,High School or GED Diploma,5,private,Sales,White alone,Male,high
10405,40-49,4,Married,More than 50,4,"Started College, No Diploma",6,private,Repair/Maintenance,White alone,Male,high
8816,60-69,6,Married,40-49,3,Bachelor Degree,8,private,Sales,White alone,Male,high
21281,60-69,6,Married,40-49,3,"Started College, No Diploma",6,self employed,Management/Business,White alone,Male,low
21413,50-59,5,Separated,40-49,3,"Started College, No Diploma",6,governmental,Management/Business,Black or African American alone,Female,high
19567,40-49,4,Married,40-49,3,"Started College, No Diploma",6,private,Office/Administrative Support,White alone,Male,low
5442,50-59,5,Separated,Less than 20,1,Bachelor Degree,8,self employed,Construction/Extraction,White alone,Male,low
17490,50-59,5,Married,40-49,3,Master or other Degree Beyond Bachelor,9,private,"Science, Engineering, Technology",White alone,Male,high
13772,30-39,3,Never married,40-49,3,"Started High School, No Diploma",4,governmental,Counseling/Mental Health Services,Black or African American alone,Female,low
5841,25-29,2,Never married,More than 50,4,"Started College, No Diploma",6,private,Management/Business,White alone,Female,low
2736,Younger than 25,1,Never married,20-39,2,High School or GED Diploma,5,private,Office/Administrative Support,White alone,Female,low
9004,60-69,6,Separated,40-49,3,High School or GED Diploma,5,private,Finance/Accounting,White alone,Female,low
14128,Younger than 25,1,Never married,40-49,3,High School or GED Diploma,5,governmental,Office/Administrative Support,Black or African American alone,Male,low
4073,25-29,2,Separated,40-49,3,"Started College, No Diploma",6,private,Healthcare/Medical Services,White alone,Female,low
21189,50-59,5,Married,40-49,3,Bachelor Degree,8,private,Sales,White alone,Female,low
8406,40-49,4,Married,More than 50,4,Bachelor Degree,8,private,Finance/Accounting,White alone,Male,high
18014,25-29,2,Married,40-49,3,High School or GED Diploma,5,governmental,Protective Services,White alone,Male,low
11995,50-59,5,Married,More than 50,4,High School or GED Diploma,5,private,Sales,White alone,Male,high
19101,30-39,3,Never married,20-39,2,Middle School,3,self employed,Healthcare/Medical Services,White alone,Female,high
16448,40-49,4,Married,20-39,2,High School or GED Diploma,5,private,Office/Administrative Support,White alone,Female,low
19145,40-49,4,Never married,40-49,3,High School or GED Diploma,5,private,Service/Hospitality,Black or African American alone,Male,low
3076,50-59,5,Married,40-49,3,"Started College, No Diploma",6,private,Transport,Black or African American alone,Male,low
5822,30-39,3,Married,40-49,3,"Started College, No Diploma",6,private,Office/Administrative Support,Black or African American alone,Female,low
9687,30-39,3,Separated,40-49,3,Associate Degree,7,self employed,"Science, Engineering, Technology",White alone,Male,high
2080,50-59,5,Married,Less than 20,1,"Started College, No Diploma",6,governmental,Transport,White alone,Female,low
22058,60-69,6,Married,40-49,3,Bachelor Degree,8,governmental,Education,Black or African American alone,Male,low
10942,50-59,5,Never married,40-49,3,High School or GED Diploma,5,private,Repair/Maintenance,White alone,Male,low
9933,40-49,4,Married,40-49,3,Bachelor Degree,8,private,Management/Business,White alone,Male,high
13428,50-59,5,Separated,More than 50,4,"Started College, No Diploma",6,governmental,Protective Services,White alone,Male,high
13263,50-59,5,Married,40-49,3,Bachelor Degree,8,private,Management/Business,White alone,Female,high
5922,Older than 70,7,Widowed,40-49,3,"Started College, No Diploma",6,self employed,Management/Business,White alone,Female,low
3077,30-39,3,Separated,40-49,3,Bachelor Degree,8,private,Healthcare/Medical Services,White alone,Female,high
20129,40-49,4,Married,More than 50,4,"Started College, No Diploma",6,private,Management/Business,White alone,Female,low
10767,40-49,4,Married,40-49,3,Bachelor Degree,8,private,Production/Assembly,White alone,Male,low
6259,Younger than 25,1,Never married,Less than 20,1,High School or GED Diploma,5,private,Office/Administrative Support,White alone,Female,low
15191,40-49,4,Separated,Less than 20,1,"Started College, No Diploma",6,private,Sales,White alone,Female,low
9354,60-69,6,Married,20-39,2,High School or GED Diploma,5,governmental,Service/Hospitality,White alone,Female,low
14214,50-59,5,Married,Less than 20,1,Associate Degree,7,self employed,Healthcare/Medical Services,White alone,Female,low
19098,40-49,4,Never married,40-49,3,Master or other Degree Beyond Bachelor,9,private,"Science, Engineering, Technology",Black or African American alone,Female,high
4506,30-39,3,Never married,More than 50,4,Bachelor Degree,8,private,Repair/Maintenance,White alone,Male,low
5284,30-39,3,Married,20-39,2,High School or GED Diploma,5,private,Management/Business,Black or African American alone,Male,low
22109,Younger than 25,1,Never married,Less than 20,1,"Started College, No Diploma",6,private,Service/Hospitality,White alone,Female,low
805,Older than 70,7,Never married,40-49,3,"Started High School, No Diploma",4,governmental,Service/Hospitality,Black or African American alone,Male,low
15912,25-29,2,Married,40-49,3,"Started College, No Diploma",6,private,Repair/Maintenance,White alone,Male,low
19519,Older than 70,7,Married,40-49,3,"Started College, No Diploma",6,private,Repair/Maintenance,White alone,Male,low
12658,60-69,6,Married,40-49,3,"Started College, No Diploma",6,private,"Science, Engineering, Technology",Black or African American alone,Male,low
17678,50-59,5,Married,20-39,2,Associate Degree,7,private,Healthcare/Medical Services,White alone,Female,high
20112,40-49,4,Married,More than 50,4,Bachelor Degree,8,governmental,Education,White alone,Female,low
2094,Younger than 25,1,Married,40-49,3,High School or GED Diploma,5,private,Sales,White alone,Female,low
20202,50-59,5,Married,40-49,3,"Started College, No Diploma",6,private,Office/Administrative Support,White alone,Female,low
1335,Younger than 25,1,Never married,20-39,2,"Started High School, No Diploma",4,private,Service/Hospitality,White alone,Female,low
13551,50-59,5,Married,20-39,2,Master or other Degree Beyond Bachelor,9,private,Education,White alone,Female,high
906,25-29,2,Never married,20-39,2,Bachelor Degree,8,private,Education,White alone,Female,low
4437,30-39,3,Never married,20-39,2,Doctorate Degree,10,self employed,"Science, Engineering, Technology",White alone,Female,low
15781,60-69,6,Married,40-49,3,High School or GED Diploma,5,governmental,Construction/Extraction,White alone,Male,high
12348,50-59,5,Separated,40-49,3,High School or GED Diploma,5,self employed,Sales,White alone,Female,low
646,Younger than 25,1,Never married,40-49,3,"Started College, No Diploma",6,private,Sales,White alone,Female,low
6462,50-59,5,Married,40-49,3,Bachelor Degree,8,private,Office/Administrative Support,White alone,Female,low
10598,60-69,6,Married,40-49,3,High School or GED Diploma,5,private,Sales,White alone,Male,high
8150,50-59,5,Married,40-49,3,High School or GED Diploma,5,governmental,Production/Assembly,White alone,Male,low
9595,Younger than 25,1,Never married,Less than 20,1,"Started High School, No Diploma",4,private,Service/Hospitality,White alone,Male,low
15892,Older than 70,7,Married,20-39,2,High School or GED Diploma,5,private,Sales,White alone,Male,low
9002,50-59,5,Separated,40-49,3,Bachelor Degree,8,private,Office/Administrative Support,White alone,Male,high
21631,50-59,5,Married,40-49,3,Master or other Degree Beyond Bachelor,9,governmental,Office/Administrative Support,Black or African American alone,Male,high
716,Younger than 25,1,Never married,40-49,3,"Started College, No Diploma",6,private,Construction/Extraction,Black or African American alone,Male,low
7700,25-29,2,Married,40-49,3,"Started College, No Diploma",6,private,Healthcare/Medical Services,White alone,Female,low
8543,25-29,2,Never married,40-49,3,"Started High School, No Diploma",4,private,Production/Assembly,Other,Female,low
16553,50-59,5,Married,40-49,3,Middle School,3,private,Production/Assembly,White alone,Male,low
21619,50-59,5,Never married,40-49,3,High School or GED Diploma,5,private,Service/Hospitality,Other,Male,low
11413,50-59,5,Married,More than 50,4,High School or GED Diploma,5,private,Production/Assembly,White alone,Male,low
4589,Younger than 25,1,Never married,40-49,3,High School or GED Diploma,5,private,Office/Administrative Support,Black or African American alone,Female,low
3468,40-49,4,Married,40-49,3,Associate Degree,7,private,Healthcare/Medical Services,White alone,Female,high
2902,40-49,4,Married,20-39,2,Associate Degree,7,private,Office/Administrative Support,White alone,Female,low
7981,60-69,6,Married,40-49,3,High School or GED Diploma,5,private,Office/Administrative Support,White alone,Female,low
18516,Younger than 25,1,Never married,Less than 20,1,"Started College, No Diploma",6,private,Transport,Black or African American alone,Male,low
9077,50-59,5,Married,Less than 20,1,"Started High School, No Diploma",4,private,Office/Administrative Support,Black or African American alone,Female,low
7069,50-59,5,Separated,More than 50,4,"Started College, No Diploma",6,private,Sales,White alone,Male,low
10325,60-69,6,Married,More than 50,4,"Started College, No Diploma",6,private,Management/Business,White alone,Female,low
9647,Younger than 25,1,Never married,20-39,2,Associate Degree,7,private,Transport,White alone,Male,low
5117,50-59,5,Married,More than 50,4,Bachelor Degree,8,self employed,Finance/Accounting,White alone,Male,high
9813,25-29,2,Never married,40-49,3,High School or GED Diploma,5,private,Production/Assembly,Black or African American alone,Male,low
8939,Younger than 25,1,Never married,Less than 20,1,"Started College, No Diploma",6,private,Sales,White alone,Female,low
19222,40-49,4,Never married,More than 50,4,"Started College, No Diploma",6,private,Office/Administrative Support,White alone,Female,low
2466,25-29,2,Never married,40-49,3,Bachelor Degree,8,private,"Science, Engineering, Technology",White alone,Male,low
19355,40-49,4,Separated,20-39,2,Bachelor Degree,8,private,Education,Black or African American alone,Female,low
7749,60-69,6,Married,20-39,2,Master or other Degree Beyond Bachelor,9,private,Education,Black or African American alone,Female,low
17626,Older than 70,7,Separated,40-49,3,Elementary School,2,private,Sales,Black or African American alone,Female,low
20166,Older than 70,7,Widowed,20-39,2,High School or GED Diploma,5,private,Service/Hospitality,White alone,Female,low
1468,50-59,5,Never married,Less than 20,1,High School or GED Diploma,5,private,Service/Hospitality,White alone,Male,low
14855,60-69,6,Separated,40-49,3,"Started College, No Diploma",6,private,Production/Assembly,White alone,Female,high
14272,50-59,5,Married,More than 50,4,Master or other Degree Beyond Bachelor,9,self employed,Healthcare/Medical Services,White alone,Male,high
12980,25-29,2,Never married,20-39,2,"Started College, No Diploma",6,private,Transport,White alone,Male,low
18254,40-49,4,Never married,More than 50,4,Bachelor Degree,8,private,"Farming, Fishing, Forestry",White alone,Male,low
18551,30-39,3,Married,20-39,2,High School or GED Diploma,5,private,Sales,White alone,Female,low
11880,50-59,5,Married,40-49,3,Bachelor Degree,8,private,Protective Services,White alone,Male,low
1111,50-59,5,Widowed,40-49,3,Master or other Degree Beyond Bachelor,9,governmental,Education,White alone,Female,high
13884,50-59,5,Married,40-49,3,"Started College, No Diploma",6,governmental,Repair/Maintenance,White alone,Male,high
4424,50-59,5,Married,40-49,3,"Started High School, No Diploma",4,private,Management/Business,White alone,Female,high
5280,50-59,5,Married,40-49,3,High School or GED Diploma,5,private,Management/Business,White alone,Female,low
5245,50-59,5,Married,40-49,3,"Started College, No Diploma",6,self employed,Service/Hospitality,White alone,Female,low
1610,25-29,2,Married,40-49,3,High School or GED Diploma,5,private,Construction/Extraction,White alone,Male,low
15001,30-39,3,Separated,40-49,3,High School or GED Diploma,5,private,Production/Assembly,White alone,Male,low
9925,Younger than 25,1,Never married,20-39,2,"Started High School, No Diploma",4,private,Transport,Black or African American alone,Male,low
14806,40-49,4,Married,More than 50,4,High School or GED Diploma,5,self employed,Construction/Extraction,White alone,Male,low
9265,40-49,4,Married,20-39,2,Bachelor Degree,8,self employed,Entertainment,White alone,Male,low
5698,40-49,4,Married,More than 50,4,Bachelor Degree,8,private,Sales,White alone,Male,high
19814,Younger than 25,1,Never married,40-49,3,High School or GED Diploma,5,private,Healthcare/Medical Services,White alone,Female,low
8884,30-39,3,Separated,40-49,3,"Started College, No Diploma",6,governmental,Management/Business,White alone,Male,low
20066,60-69,6,Separated,40-49,3,Bachelor Degree,8,governmental,"Science, Engineering, Technology",White alone,Female,high
7917,30-39,3,Married,40-49,3,Bachelor Degree,8,governmental,Healthcare/Medical Services,White alone,Male,high
12113,60-69,6,Married,20-39,2,Associate Degree,7,private,Education,White alone,Female,low
139,Younger than 25,1,Never married,Less than 20,1,High School or GED Diploma,5,private,Sales,White alone,Female,low
2513,50-59,5,Married,More than 50,4,Associate Degree,7,private,Service/Hospitality,White alone,Female,low
10715,25-29,2,Never married,More than 50,4,"Started College, No Diploma",6,private,Service/Hospitality,White alone,Male,low
14750,50-59,5,Separated,40-49,3,"Started High School, No Diploma",4,governmental,Transport,White alone,Female,low
3619,40-49,4,Married,20-39,2,High School or GED Diploma,5,private,Transport,Black or African American alone,Male,low
695,Younger than 25,1,Never married,20-39,2,"Started College, No Diploma",6,private,Sales,White alone,Male,low
10566,25-29,2,Married,40-49,3,Bachelor Degree,8,private,Management/Business,White alone,Male,low
14523,60-69,6,Never married,40-49,3,"Started High School, No Diploma",4,private,Production/Assembly,White alone,Female,high
16020,50-59,5,Married,40-49,3,Master or other Degree Beyond Bachelor,9,private,Transport,White alone,Male,high
19088,50-59,5,Married,40-49,3,Bachelor Degree,8,private,Office/Administrative Support,Black or African American alone,Female,low
161,25-29,2,Never married,40-49,3,High School or GED Diploma,5,governmental,Protective Services,White alone,Female,low
1785,50-59,5,Married,40-49,3,"Started College, No Diploma",6,private,Repair/Maintenance,White alone,Male,low
12933,40-49,4,Separated,More than 50,4,"Started High School, No Diploma",4,private,Service/Hospitality,White alone,Male,low
8704,Younger than 25,1,Never married,20-39,2,"Started College, No Diploma",6,private,Construction/Extraction,White alone,Male,low
7526,50-59,5,Separated,20-39,2,"Started High School, No Diploma",4,private,Sales,White alone,Female,high
2237,30-39,3,Separated,40-49,3,High School or GED Diploma,5,private,Healthcare/Medical Services,Black or African American alone,Female,low
18718,60-69,6,Separated,More than 50,4,High School or GED Diploma,5,private,Management/Business,White alone,Male,high
3620,40-49,4,Married,40-49,3,Associate Degree,7,private,Healthcare/Medical Services,Black or African American alone,Female,low
14113,30-39,3,Married,More than 50,4,"Started College, No Diploma",6,private,Protective Services,White alone,Male,high
947,25-29,2,Never married,40-49,3,Bachelor Degree,8,private,Management/Business,Black or African American alone,Female,low
15652,50-59,5,Married,20-39,2,"Started College, No Diploma",6,private,Counseling/Mental Health Services,White alone,Female,low
11808,50-59,5,Separated,Less than 20,1,No Elementary School,1,self employed,Service/Hospitality,White alone,Male,low
20919,50-59,5,Married,40-49,3,"Started College, No Diploma",6,private,Management/Business,White alone,Male,high
8373,Older than 70,7,Widowed,Less than 20,1,High School or GED Diploma,5,private,Management/Business,White alone,Female,high
9508,60-69,6,Married,40-49,3,High School or GED Diploma,5,self employed,Management/Business,White alone,Female,low
7476,50-59,5,Separated,More than 50,4,"Started College, No Diploma",6,self employed,Finance/Accounting,White alone,Male,low
8341,30-39,3,Married,40-49,3,"Started College, No Diploma",6,private,Management/Business,White alone,Female,high
2415,40-49,4,Married,40-49,3,Bachelor Degree,8,governmental,Management/Business,White alone,Male,high
8084,Younger than 25,1,Never married,20-39,2,"Started High School, No Diploma",4,private,Service/Hospitality,White alone,Male,low
15835,60-69,6,Widowed,40-49,3,"Started High School, No Diploma",4,governmental,Management/Business,Black or African American alone,Female,low
10439,50-59,5,Married,40-49,3,"Started College, No Diploma",6,private,Production/Assembly,White alone,Male,low
6177,50-59,5,Married,40-49,3,"Started College, No Diploma",6,private,Transport,White alone,Male,high
21564,25-29,2,Never married,40-49,3,Bachelor Degree,8,private,Finance/Accounting,White alone,Female,low
9251,60-69,6,Separated,40-49,3,High School or GED Diploma,5,private,Management/Business,White alone,Female,high
3921,60-69,6,Separated,Less than 20,1,High School or GED Diploma,5,private,Transport,White alone,Male,low
8467,50-59,5,Married,40-49,3,Associate Degree,7,private,Office/Administrative Support,White alone,Female,high
15617,40-49,4,Married,40-49,3,High School or GED Diploma,5,private,Healthcare/Medical Services,Black or African American alone,Female,low
11753,30-39,3,Married,40-49,3,High School or GED Diploma,5,private,Service/Hospitality,White alone,Female,low
19755,Younger than 25,1,Never married,20-39,2,"Started College, No Diploma",6,governmental,Military Services,White alone,Male,low
17581,50-59,5,Separated,40-49,3,High School or GED Diploma,5,private,Construction/Extraction,White alone,Male,high
2538,60-69,6,Married,Less than 20,1,"Started College, No Diploma",6,private,Office/Administrative Support,White alone,Female,low
20835,40-49,4,Married,40-49,3,"Started College, No Diploma",6,governmental,Production/Assembly,White alone,Male,low
16068,30-39,3,Married,40-49,3,Master or other Degree Beyond Bachelor,9,private,Healthcare/Medical Services,White alone,Female,high
6499,40-49,4,Married,40-49,3,"Started College, No Diploma",6,governmental,Management/Business,Black or African American alone,Female,high
13881,25-29,2,Married,40-49,3,Associate Degree,7,private,Healthcare/Medical Services,White alone,Female,low
9885,50-59,5,Never married,40-49,3,"Started College, No Diploma",6,private,Management/Business,White alone,Female,high
16225,60-69,6,Married,40-49,3,High School or GED Diploma,5,private,Production/Assembly,White alone,Male,low
8937,Younger than 25,1,Never married,20-39,2,High School or GED Diploma,5,private,Service/Hospitality,White alone,Male,low
17902,60-69,6,Married,40-49,3,Bachelor Degree,8,private,Finance/Accounting,White alone,Female,low
9113,30-39,3,Married,More than 50,4,Bachelor Degree,8,private,Education,White alone,Female,low
14980,50-59,5,Married,20-39,2,High School or GED Diploma,5,private,Service/Hospitality,White alone,Female,low
17863,30-39,3,Separated,20-39,2,"Started College, No Diploma",6,private,Transport,White alone,Female,low
1079,40-49,4,Never married,40-49,3,"Started College, No Diploma",6,private,Finance/Accounting,White alone,Female,low
10445,30-39,3,Married,Less than 20,1,"Started High School, No Diploma",4,governmental,Office/Administrative Support,White alone,Female,low
12637,40-49,4,Married,40-49,3,Master or other Degree Beyond Bachelor,9,private,Management/Business,Black or African American alone,Male,high
14956,50-59,5,Married,40-49,3,Associate Degree,7,governmental,"Science, Engineering, Technology",White alone,Female,high
18985,30-39,3,Married,40-49,3,Bachelor Degree,8,private,Healthcare/Medical Services,Black or African American alone,Female,high
8545,30-39,3,Married,40-49,3,High School or GED Diploma,5,private,Repair/Maintenance,White alone,Male,high
15396,40-49,4,Married,40-49,3,"Started College, No Diploma",6,governmental,Construction/Extraction,White alone,Male,low
11188,Older than 70,7,Married,20-39,2,Bachelor Degree,8,private,Office/Administrative Support,White alone,Female,low
8511,60-69,6,Widowed,Less than 20,1,Bachelor Degree,8,private,Education,White alone,Female,low
21082,40-49,4,Separated,More than 50,4,Bachelor Degree,8,private,Management/Business,White alone,Male,high
20512,50-59,5,Married,40-49,3,Bachelor Degree,8,governmental,Counseling/Mental Health Services,White alone,Female,high
6153,50-59,5,Married,40-49,3,"Started High School, No Diploma",4,private,Construction/Extraction,White alone,Female,low
11853,25-29,2,Separated,40-49,3,Bachelor Degree,8,private,Entertainment,White alone,Male,low
5314,50-59,5,Married,40-49,3,"Started College, No Diploma",6,private,Healthcare/Medical Services,White alone,Female,low
5688,30-39,3,Never married,20-39,2,Bachelor Degree,8,private,Sales,White alone,Female,low
17122,50-59,5,Married,20-39,2,"Started College, No Diploma",6,governmental,Service/Hospitality,White alone,Female,low
10482,30-39,3,Never married,40-49,3,Bachelor Degree,8,private,Production/Assembly,Black or African American alone,Male,high
16420,Younger than 25,1,Never married,More than 50,4,High School or GED Diploma,5,private,Construction/Extraction,White alone,Male,low
